1;2;3;4;5;6
Ермолино;г;`4000000000000;`4000400400000;Калужская;обл
Ершов;г;`6400000000000;`6401400100000;Саратовская;обл
Ессентуки;г;`2600000000000;`2600000200000;Ставропольский край;
Ефремов;г;`7100000000000;`7101000100000;Тульская;обл
Железноводск;г;`2600000000000;`2600000300000;Ставропольский край;
Железногорск;г;`2400000000000;`2400000400000;Красноярский край;
Железногорск;г;`4600000000000;`4600000300000;Курская;обл
Железногорск-Илимский;г;`3800000000000;`3801500100000;Иркутская;обл
Жердевка;г;`6800000000000;`6800400100000;Тамбовская;обл
Жигулевск;г;`6300000000000;`6300000200000;Самарская;обл
Жиздра;г;`4000000000000;`4000800100000;Калужская;обл
Жирновск;г;`3400000000000;`3400800100000;Волгоградская;обл
Жуков;г;`4000000000000;`4000900100000;Калужская;обл
Жуковка;г;`3200000000000;`3200800100000;Брянская;обл
Жуковский;г;`5000000000000;`5000000500000;Московская;обл
Завитинск;г;`2800000000000;`2800500100000;Амурская;обл
Заводоуковск;г;`7200000000000;`7200000400000;Тюменская;обл
Заволжск;г;`3700000000000;`3700500100000;Ивановская;обл
Заволжье;г;`5200000000000;`5202000200000;Нижегородская;обл
Задонск;г;`4800000000000;`4800900100000;Липецкая;обл
Заинск;г;`1600000000000;`1602000100000;Татарстан;респ
Закаменск;г;`0300000000000;`0300700100000;Бурятия;респ
Заозерный;г;`2400000000000;`2403301500000;Красноярский край;
Заозерск;г;`5100000000000;`5100000300000;Мурманская;обл
Западная Двина;г;`6900000000000;`6900001300000;Тверская;обл
Заполярный;г;`5100000000000;`5100500200000;Мурманская;обл
Зарайск;г;`5000000000000;`5000004600000;Московская;обл
Заречный;г;`5800000000000;`5800000200000;Пензенская;обл
Заречный;г;`6600000000000;`6600000500000;Свердловская;обл
Заринск;г;`2200000000000;`2200001100000;Алтайский край;
Звенигово;г;`1200000000000;`1200400100000;Марий Эл;респ
Звенигород;г;`5000000000000;`5004200400000;Московская;обл
Зверево;г;`6100000000000;`6100000700000;Ростовская;обл
Зеленогорск;г;`2400000000000;`2400000500000;Красноярский край;
Зеленогорск;г;`7800000000000;`7800000200000;Санкт-Петербург;г
Зеленоград;г;`7700000000000;`7700000200000;Москва;г
Зеленоградск;г;`3900000000000;`3900600100000;Калининградская;обл
Зеленодольск;г;`1600000000000;`1602100100000;Татарстан;респ
Зеленокумск;г;`2600000000000;`2602300100000;Ставропольский край;
Зерноград;г;`6100000000000;`6101300100000;Ростовская;обл
Зея;г;`2800000000000;`2800000400000;Амурская;обл
Зима;г;`3800000000000;`3800000700000;Иркутская;обл
Златоуст;г;`7400000000000;`7400000400000;Челябинская;обл
Злынка;г;`3200000000000;`3200900100000;Брянская;обл
Змеиногорск;г;`2200000000000;`2201500100000;Алтайский край;
Знаменск;г;`3000000000000;`3000000200000;Астраханская;обл
Зубцов;г;`6900000000000;`6901000100000;Тверская;обл
Зуевка;г;`4300000000000;`4301000100000;Кировская;обл
Ивангород;г;`4700000000000;`4700801100000;Ленинградская;обл
Иваново;г;`3700000000000;`3700000100000;Ивановская;обл
Ивантеевка;г;`5000000000000;`5005000300000;Московская;обл
Ивдель;г;`6600000000000;`6600000600000;Свердловская;обл
Игарка;г;`2400000000000;`2403801700000;Красноярский край;
Ижевск;г;`1800000000000;`1800000100000;Удмуртская;респ
Избербаш;г;`0500000000000;`0500000300000;Дагестан;респ
Изобильный;г;`2600000000000;`2601000100000;Ставропольский край;
Иланский;г;`2400000000000;`2401600100000;Красноярский край;
Инза;г;`7300000000000;`7300500100000;Ульяновская;обл
Инкерман;г;`9200000000000;`9200000100000;Севастополь;г
Иннополис;г;`1600000000000;`1601600100000;Татарстан;респ
Инсар;г;`1300000000000;`1301000100000;Мордовия;респ
Инта;г;`1100000000000;`1100000400000;Коми;респ
Ипатово;г;`2600000000000;`2601100100000;Ставропольский край;
Ирбит;г;`6600000000000;`6600002900000;Свердловская;обл
Иркутск;г;`3800000000000;`3800000300000;Иркутская;обл
Исилькуль;г;`5500000000000;`5500700100000;Омская;обл
Искитим;г;`5400000000000;`5400000500000;Новосибирская;обл
Истра;г;`5000000000000;`5004600000000;Московская;обл
Ишим;г;`7200000000000;`7200000300000;Тюменская;обл
Ишимбай;г;`0200000000000;`0202600100000;Башкортостан;респ
Йошкар-Ола;г;`1200000000000;`1200000100000;Марий Эл;респ
Кадников;г;`3500000000000;`3501700200000;Вологодская;обл
Казань;г;`1600000000000;`1600000100000;Татарстан;респ
Калач;г;`3600000000000;`3601100100000;Воронежская;обл
Калачинск;г;`5500000000000;`5500800100000;Омская;обл
Калач-на-Дону;г;`3400000000000;`3401000100000;Волгоградская;обл
Калининград;г;`3900000000000;`3900000100000;Калининградская;обл
Калининск;г;`6400000000000;`6401600100000;Саратовская;обл
Калтан;г;`4200000000000;`4200000400000;Кемеровскаяасть - Кузбасс;обл
Калуга;г;`4000000000000;`4000000100000;Калужская;обл
Калязин;г;`6900000000000;`6901100100000;Тверская;обл
Камбарка;г;`1800000000000;`1801100100000;Удмуртская;респ
Каменка;г;`5800000000000;`5801100100000;Пензенская;обл
Каменногорск;г;`4700000000000;`4700600300000;Ленинградская;обл
Каменск-Уральский;г;`6600000000000;`6600002200000;Свердловская;обл
Каменск-Шахтинский;г;`6100000000000;`6100000800000;Ростовская;обл
Камень-на-Оби;г;`2200000000000;`2201800100000;Алтайский край;
Камешково;г;`3300000000000;`3300600100000;Владимирская;обл
Камызяк;г;`3000000000000;`3000600100000;Астраханская;обл
Камышин;г;`3400000000000;`3400000300000;Волгоградская;обл
Камышлов;г;`6600000000000;`6600003000000;Свердловская;обл
Канаш;г;`2100000000000;`2100002300000;Чувашская Республика - Чувашия;
Кандалакша;г;`5100000000000;`5100100100000;Мурманская;обл
Канск;г;`2400000000000;`2400001600000;Красноярский край;
Карабаново;г;`3300000000000;`3300200200000;Владимирская;обл
Карабаш;г;`7400000000000;`7400000500000;Челябинская;обл
Карабулак;г;`0600000000000;`0600000200000;Ингушетия;респ
Карасук;г;`5400000000000;`5400900100000;Новосибирская;обл
Карачаевск;г;`0900000000000;`0900000200000;Карачаево-Черкесская;респ
Карачев;г;`3200000000000;`3201000100000;Брянская;обл
Каргат;г;`5400000000000;`5401000100000;Новосибирская;обл
Каргополь;г;`2900000000000;`2900600100000;Архангельская;обл
Карпинск;г;`6600000000000;`6600000700000;Свердловская;обл
Карталы;г;`7400000000000;`7400700100000;Челябинская;обл
Касимов;г;`6200000000000;`6200000400000;Рязанская;обл
Касли;г;`7400000000000;`7400900100000;Челябинская;обл
Катав-Ивановск;г;`7400000000000;`7401000200000;Челябинская;обл
Катайск;г;`4500000000000;`4500800100000;Курганская;обл
Качканар;г;`6600000000000;`6600000800000;Свердловская;обл
Кашин;г;`6900000000000;`6900000900000;Тверская;обл
Кашира;г;`5000000000000;`5000003800000;Московская;обл
Кедровый;г;`7000000000000;`7000000200000;Томская;обл
Кемерово;г;`4200000000000;`4200000900000;Кемеровскаяасть - Кузбасс;обл
Кемь;г;`1000000000000;`1000400100000;Карелия;респ
Керчь;г;`9100000000000;`9100000100000;Крым;респ
Кизел;г;`5900000000000;`5900000700000;Пермский край;
Кизилюрт;г;`0500000000000;`0500000700000;Дагестан;респ
Кизляр;г;`0500000000000;`0500000800000;Дагестан;респ
Кимовск;г;`7100000000000;`7101300100000;Тульская;обл
Кимры;г;`6900000000000;`6900000500000;Тверская;обл
Кингисепп;г;`4700000000000;`4700800100000;Ленинградская;обл
Кинель;г;`6300000000000;`6300001000000;Самарская;обл
Кинешма;г;`3700000000000;`3700000200000;Ивановская;обл
Киреевск;г;`7100000000000;`7101400100000;Тульская;обл
Киренск;г;`3800000000000;`3801200100000;Иркутская;обл
